Period,consumer_sentiment,current_conditions,future_expectations,country_economic_conditions,city_economic_conditions,household_income,household_budget,discretionary_spending,household_spending,job_prospect,consumer_outlook,Country 
01/01/2022,11,8,12,17,14,6,-2,12,23,4,Neutral,Algeria
01/02/2022,-6,-5,-6,1,-5,-7,-8,10,-13,-19,Negative,Algeria
01/03/2022,-6,-20,0,27,-15,-9,-17,-25,13,-14,Negative,Algeria
01/04/2022,24,-7,37,43,17,49,26,28,49,-42,Positive,Algeria
01/05/2022,-7,-26,0,-12,8,1,-7,3,10,-54,Negative,Algeria
01/06/2022,7,-3,11,8,0,-4,29,9,23,-14,Neutral,Algeria
01/07/2022,12,19,9,16,14,-9,-11,42,35,-3,Neutral,Algeria
01/08/2022,12,29,5,14,16,-12,-25,34,33,25,Neutral,Algeria
01/09/2022,4,-13,10,22,19,5,-6,18,11,-44,Neutral,Algeria
01/10/2022,-9,7,-15,-10,-10,-20,-32,-3,-1,17,Negative,Algeria
01/11/2022,6,-17,15,24,20,2,21,6,8,-39,Neutral,Algeria
01/12/2022,14,29,8,-2,13,5,-8,35,31,23,Neutral,Algeria
01/01/2023,17,44,6,9,12,-4,-8,38,21,49,Positive,Algeria
01/02/2023,18,26,15,17,20,15,-2,30,24,22,Positive,Algeria
01/03/2023,3,-6,7,20,6,-28,16,6,20,-17,Neutral,Algeria
01/04/2023,15,-16,28,27,24,26,27,20,37,-52,Neutral,Algeria
01/05/2023,15,-1,22,25,28,10,29,20,19,-22,Neutral,Algeria
01/06/2023,32,34,31,31,37,16,42,50,31,17,Positive,Algeria
01/07/2023,21,14,24,17,23,-6,41,49,46,-22,Positive,Algeria
01/08/2023,27,1,37,40,45,26,33,36,40,-33,Positive,Algeria
01/09/2023,37,10,48,58,58,23,44,56,58,-36,Positive,Algeria
01/10/2023,22,12,26,29,26,-3,23,-19,55,43,Positive,Algeria
01/04/2022,-26,-53,-16,-45,-22,-48,68,-40,-32,-66,Negative,Angola
01/05/2022,-35,-69,-21,-46,-54,-46,91,-57,-49,-82,Negative,Angola
01/06/2022,-35,-63,-23,-53,-45,-58,85,-53,-45,-73,Negative,Angola
01/07/2022,-27,-56,-15,-44,-42,-28,87,-49,-50,-62,Negative,Angola
01/08/2022,-10,-44,4,-12,-12,-2,80,-29,-33,-59,Negative,Angola
01/09/2022,-28,-69,-12,-34,-35,-12,88,-66,-67,-71,Negative,Angola
01/10/2022,-24,-48,-15,-33,-49,-32,81,-34,-42,-62,Negative,Angola
01/11/2022,-26,-46,-18,-48,-49,-46,91,-35,-37,-58,Negative,Angola
01/12/2022,66,20,84,98,97,96,66,39,63,1,Positive,Angola
01/01/2023,38,7,50,71,76,69,20,16,16,-2,Positive,Angola
01/02/2023,22,2,30,48,50,47,4,4,0,0,Positive,Angola
01/03/2023,15,1,21,31,31,29,4,7,9,-4,Neutral,Angola
01/04/2023,5,-1,7,13,5,14,1,18,2,-19,Neutral,Angola
01/05/2023,44,8,58,58,57,48,65,65,64,-48,Positive,Angola
01/06/2023,37,40,36,41,37,18,39,50,46,30,Positive,Angola
01/07/2023,46,35,51,53,66,22,48,75,64,-5,Positive,Angola
01/08/2023,26,17,30,33,28,31,29,33,29,0,Positive,Angola
01/09/2023,23,16,26,27,25,28,27,31,25,0,Positive,Angola
01/10/2023,20,18,22,32,30,6,34,35,4,0,Positive,Angola
01/06/2016,19,-1,27,36,27,27,35,31,12,-33,Positive,Cameroon
01/07/2016,12,2,15,19,13,14,21,27,9,-22,Neutral,Cameroon
01/08/2016,15,0,22,26,13,20,28,25,22,-26,Neutral,Cameroon
01/09/2016,21,2,28,24,29,29,38,39,19,-35,Positive,Cameroon
01/10/2016,22,12,26,24,22,26,32,43,25,-18,Positive,Cameroon
01/11/2016,15,14,16,18,18,11,13,35,19,-8,Neutral,Cameroon
01/12/2016,16,10,18,14,20,22,11,29,23,-8,Positive,Cameroon
01/01/2017,16,5,20,20,14,22,18,23,25,-13,Positive,Cameroon
01/02/2017,11,3,14,16,15,12,15,19,10,-13,Neutral,Cameroon
