Month,ICS -Consumer Sentiment,ICC - Current Conditions,ICE - Future Expectations,Country Economic Conditions,City Economic Conditions,Household Income,Household Budget,Discretionary Spending,Household Spending,Job Prospect,Country 
Jan-22,11,8,12,17,14,6,-2,12,23,4,Algeria
Feb-22,-6,-5,-6,1,-5,-7,-8,10,-13,-19,Algeria
Mar-22,-6,-20,0,27,-15,-9,-17,-25,13,-14,Algeria
Apr-22,24,-7,37,43,17,49,26,28,49,-42,Algeria
May-22,-7,-26,0,-12,8,1,-7,3,10,-54,Algeria
Jun-22,7,-3,11,8,0,-4,29,9,23,-14,Algeria
Jul-22,12,19,9,16,14,-9,-11,42,35,-3,Algeria
Aug-22,12,29,5,14,16,-12,-25,34,33,25,Algeria
Sep-22,4,-13,10,22,19,5,-6,18,11,-44,Algeria
Oct-22,-9,7,-15,-10,-10,-20,-32,-3,-1,17,Algeria
Nov-22,6,-17,15,24,20,2,21,6,8,-39,Algeria
Dec-22,14,29,8,-2,13,5,-8,35,31,23,Algeria
Jan-23,17,44,6,9,12,-4,-8,38,21,49,Algeria
Feb-23,18,26,15,17,20,15,-2,30,24,22,Algeria
Mar-23,3,-6,7,20,6,-28,16,6,20,-17,Algeria
Apr-23,15,-16,28,27,24,26,27,20,37,-52,Algeria
May-23,15,-1,22,25,28,10,29,20,19,-22,Algeria
Jun-23,32,34,31,31,37,16,42,50,31,17,Algeria
Jul-23,21,14,24,17,23,-6,41,49,46,-22,Algeria
Aug-23,27,1,37,40,45,26,33,36,40,-33,Algeria
Sep-23,37,10,48,58,58,23,44,56,58,-36,Algeria
Oct-23,22,12,26,29,26,-3,23,-19,55,43,Algeria
Apr-22,-26,-53,-16,-45,-22,-48,68,-40,-32,-66,Angola
May-22,-35,-69,-21,-46,-54,-46,91,-57,-49,-82,Angola
Jun-22,-35,-63,-23,-53,-45,-58,85,-53,-45,-73,Angola
Jul-22,-27,-56,-15,-44,-42,-28,87,-49,-50,-62,Angola
Aug-22,-10,-44,4,-12,-12,-2,80,-29,-33,-59,Angola
Sep-22,-28,-69,-12,-34,-35,-12,88,-66,-67,-71,Angola
